,,carga,carga,intensidad,intensidad,ocupacion,ocupacion
,,mean,std,mean,std,mean,std
periodo,tipo_elem,,,,,,
Nueva normalidad,M30,30.7,24.01,1104.72,1132.85,4.21,6.64
Nueva normalidad,URB,13.29,12.71,230.14,308.77,4.12,7.91
