,periodo,hora,mean,std
0,Nueva normalidad,0,7.588705843093479,7.320720483908849
1,Nueva normalidad,1,5.238950044983402,6.228157015161593
2,Nueva normalidad,2,3.621778736255168,5.459386148586493
3,Nueva normalidad,3,2.656261951300341,5.1513501065497325
4,Nueva normalidad,4,2.233493032126038,4.875826849047479
5,Nueva normalidad,5,2.5951278329938514,5.045433526431093
6,Nueva normalidad,6,6.047906451854929,8.66980311016359
7,Nueva normalidad,7,12.172296545497458,13.595365924722568
8,Nueva normalidad,8,16.919463146737183,15.788307502757755
9,Nueva normalidad,9,18.645019643077358,15.521994003976637
10,Nueva normalidad,10,19.3718002471695,14.595632680345217
11,Nueva normalidad,11,20.88032128867826,14.793203525331155
12,Nueva normalidad,12,22.284232257118237,15.342853019012393
13,Nueva normalidad,13,22.935537387159705,15.87929478900131
14,Nueva normalidad,14,24.003012169457406,17.293449083955785
15,Nueva normalidad,15,20.666596636041078,16.43437280894718
16,Nueva normalidad,16,17.163858650757227,13.737871836936744
17,Nueva normalidad,17,18.320541803717024,14.206800997284924
18,Nueva normalidad,18,20.508670873583334,15.47183938758239
19,Nueva normalidad,19,21.245161729965474,15.270574207489773
20,Nueva normalidad,20,20.496386507773128,14.494615240172898
21,Nueva normalidad,21,18.27664118811852,13.200058052988526
22,Nueva normalidad,22,14.036264638203697,10.967688260075619
23,Nueva normalidad,23,9.831266129524822,8.380064294740697
