,,carga,carga,intensidad,intensidad,ocupacion,ocupacion
,,mean,std,mean,std,mean,std
periodo,tipo_día,,,,,,
Nueva normalidad,Fin de semana,10.96,11.06,221.55,357.17,2.97,6.4
Nueva normalidad,Laborable,16.09,15.65,328.53,534.0,4.58,8.27
