,,carga,carga,intensidad,intensidad,ocupacion,ocupacion
,,mean,std,mean,std,mean,std
periodo,tipo_día,,,,,,
Pre-pandemia,Fin de semana,15.8,14.93,352.33,588.98,4.73,8.85
Pre-pandemia,Laborable,21.71,20.21,475.56,724.58,7.23,11.6
