,,carga,carga,intensidad,intensidad,ocupacion,ocupacion
,,mean,std,mean,std,mean,std
periodo,tipo_elem,,,,,,
Pre-pandemia,M30,27.05,29.79,1311.51,1352.6,5.89,7.2
Pre-pandemia,URB,19.14,17.06,333.79,456.26,6.58,11.29
