periodo,tipo_día,carga_mean,carga_std,intensidad_mean,intensidad_std,ocupacion_mean,ocupacion_std
Confinamiento estricto,Fin de semana,4.715196368189178,6.430679745068634,96.60210298899133,200.7865059382732,,
Confinamiento estricto,Laborable,5.672187758003663,7.366149896879474,120.82132397462715,274.73250793574175,,
Nueva normalidad,Fin de semana,14.504250859647234,15.179241303127345,302.0893114700441,501.11130775328866,,
Nueva normalidad,Laborable,15.300628370074467,16.07281663197008,322.09456852345335,541.6161835336126,,
Pre-pandemia,Fin de semana,18.779003833898216,17.80375161965539,411.145132629465,641.1382861586899,,
Pre-pandemia,Laborable,19.716966896568792,19.07526447305745,432.00032214597036,674.0778216052622,,
Primeros casos,Fin de semana,18.387042483872435,17.803415959035004,404.7348044796627,635.5947606136136,,
Primeros casos,Laborable,20.21049244565775,19.431424408425496,446.3281375159663,696.3127157832381,,
