periodo,intensidad_mean,intensidad_std,intensidad_max,intensidad_min,ocupacion_mean,ocupacion_std,ocupacion_max,carga_mean,carga_std,carga_max
Confinamiento estricto,114.15432360304541,256.740081072823,90800,0,,,,5.408749806994513,7.133722592707412,100
Nueva normalidad,316.4422191486285,530.5618230512333,99999,-127,,,,15.075617318670814,15.829519097876368,100
Pre-pandemia,426.06469332903487,664.9355961486874,92106,0,,,,19.450011730344944,18.726953668221164,100
Primeros casos,433.67851751865794,678.6918336069756,40405,0,,,,19.655933639789552,18.969665178851233,100
