periodo,tipo_elem,carga_mean,carga_std,intensidad_mean,intensidad_std,ocupacion_mean,ocupacion_std
Confinamiento estricto,M30,7.168738727620334,10.453830286978404,324.02789000539127,451.10563513300934,,
Confinamiento estricto,URB,5.18833876440982,6.568161709903715,87.8709470206177,206.1034604897236,1.8729446706724513,5.282398592838773
Nueva normalidad,M30,24.784619297825405,25.728920863262108,1040.7171865382218,1162.8087354629245,,
Nueva normalidad,URB,14.070780134935825,14.043846439466366,241.48308122239632,332.83756272990524,4.482898762794433,8.485062985512155
Pre-pandemia,M30,26.637896033187584,29.30142941980489,1282.1463992365918,1323.0286031615667,,
Pre-pandemia,URB,18.58000467623734,16.799292030209756,322.4462860687101,429.3564454182861,6.38396948800381,11.054790600972936
Primeros casos,M30,26.807562211091938,29.858238994114878,1345.9555648593048,1399.4092874148257,,
Primeros casos,URB,18.823486043152695,17.067985378826446,327.489720386064,422.0644803773325,6.389814929313825,10.860235180363627
